file	transplantNum	leaf	petioleLength	bladeLength	bladeWidth	bladeArea	bladePerimeter	bladeCircularity
scan-08_plant-629.tiff (blue)	629	1	0.279	0.252	0.236	0.047	1.017	0.568
scan-08_plant-629.tiff (blue)	629	2	0.207	0.237	0.222	0.041	0.943	0.585
scan-08_plant-629.tiff (blue)	629	3	0.363	0.464	0.343	0.125	2.083	0.362
scan-08_plant-629.tiff (blue)	629	4	0.513	0.584	0.505	0.231	2.253	0.573
scan-08_plant-629.tiff (blue)	629	5	0.559	0.779	0.552	0.338	2.737	0.567
scan-08_plant-629.tiff (blue)	629	6	0.766	0.870	0.547	0.374	2.883	0.565
scan-08_plant-629.tiff (blue)	629	7	0.800	1.037	0.546	0.445	3.390	0.486
scan-08_plant-629.tiff (blue)	629	8	0.862	1.103	0.527	0.457	3.387	0.500
scan-08_plant-629.tiff (blue)	629	9	0.809	1.077	0.564	0.477	3.507	0.487
scan-08_plant-629.tiff (blue)	629	10	0.730	0.967	0.480	0.365	3.107	0.475

scan-09_plant-637.tiff (blue)	637	1	0.316	0.299	0.278	0.065	1.193	0.577
scan-09_plant-637.tiff (blue)	637	2	0.261	0.309	0.286	0.070	1.230	0.578
scan-09_plant-637.tiff (blue)	637	3	0.545	0.529	0.430	0.178	2.010	0.555
scan-09_plant-637.tiff (blue)	637	4	0.615	0.632	0.525	0.261	2.370	0.583
scan-09_plant-637.tiff (blue)	637	5	0.762	1.123	0.591	0.521	3.463	0.546
scan-09_plant-637.tiff (blue)	637	6	0.836	1.190	0.603	0.564	3.760	0.501
scan-09_plant-637.tiff (blue)	637	7	0.992	1.085	0.629	0.536	3.537	0.538
scan-09_plant-637.tiff (blue)	637	8	0.987	1.284	0.637	0.642	4.103	0.479
scan-09_plant-637.tiff (blue)	637	9	0.932	1.229	0.589	0.568	3.253	0.674
scan-09_plant-637.tiff (blue)	637	10	0.784	1.130	0.516	0.458	3.507	0.468

scan-10_plant-654.tiff (blue)	654	1	0.178	0.238	0.166	0.031	0.827	0.572
scan-10_plant-654.tiff (blue)	654	2	0.202	0.244	0.189	0.036	0.883	0.581
scan-10_plant-654.tiff (blue)	654	3	0.438	0.479	0.360	0.135	1.717	0.577
scan-10_plant-654.tiff (blue)	654	4	0.379	0.499	0.379	0.148	1.803	0.574
scan-10_plant-654.tiff (blue)	654	5	0.518	0.788	0.398	0.246	2.467	0.508
scan-10_plant-654.tiff (blue)	654	6	0.570	0.806	0.332	0.210	2.390	0.462
scan-10_plant-654.tiff (blue)	654	7	0.568	0.931	0.330	0.242	2.697	0.418
scan-10_plant-654.tiff (blue)	654	8	0.621	0.803	0.302	0.191	2.350	0.434
scan-10_plant-654.tiff (blue)	654	9	0.490	0.891	0.375	0.263	2.683	0.458
scan-10_plant-654.tiff (blue)	654	10	0.402	0.797	0.355	0.222	2.443	0.467

scan-11_plant-664.tiff (blue)	664	1	0.188	0.217	0.178	0.030	0.827	0.558
scan-11_plant-664.tiff (blue)	664	2	0.209	0.245	0.199	0.038	0.900	0.593
scan-11_plant-664.tiff (blue)	664	3	0.370	0.451	0.350	0.124	1.680	0.553
scan-11_plant-664.tiff (blue)	664	4	0.460	0.636	0.483	0.241	2.327	0.561
scan-11_plant-664.tiff (blue)	664	5	0.610	0.863	0.504	0.341	2.813	0.542
scan-11_plant-664.tiff (blue)	664	6	0.592	0.907	0.410	0.292	2.837	0.456
scan-11_plant-664.tiff (blue)	664	7	0.600	0.919	0.474	0.342	2.967	0.489
scan-11_plant-664.tiff (blue)	664	8	0.449	0.965	0.464	0.352	3.020	0.485
scan-11_plant-664.tiff (blue)	664	9	0.461	0.886	0.420	0.293	2.867	0.447
scan-11_plant-664.tiff (blue)	664	10	0.326	0.680	0.352	0.188	2.150	0.511

scan-12_plant-684.tiff (blue)	684	1	0.187	0.224	0.200	0.035	0.973	0.467
scan-12_plant-684.tiff (blue)	684	2	0.180	0.236	0.203	0.038	0.900	0.584
scan-12_plant-684.tiff (blue)	684	3	0.356	0.415	0.370	0.121	1.623	0.577
scan-12_plant-684.tiff (blue)	684	4	0.431	0.473	0.363	0.135	1.730	0.566
scan-12_plant-684.tiff (blue)	684	5	0.522	0.616	0.339	0.164	1.990	0.521
scan-12_plant-684.tiff (blue)	684	6	0.588	0.660	0.370	0.192	2.113	0.540
scan-12_plant-684.tiff (blue)	684	7	0.630	0.696	0.368	0.201	2.203	0.520
scan-12_plant-684.tiff (blue)	684	8	0.494	0.657	0.405	0.209	2.197	0.544
scan-12_plant-684.tiff (blue)	684	9	0.359	0.552	0.336	0.146	1.529	0.784
scan-12_plant-684.tiff (blue)	684	10	0.204	0.409	0.236	0.076	1.081	0.816

scan-13_plant-508.tiff (blue)	508	1	0.165	0.262	0.218	0.045	0.993	0.571
scan-13_plant-508.tiff (blue)	508	2	0.154	0.260	0.215	0.044	0.967	0.590
scan-13_plant-508.tiff (blue)	508	3	0.339	0.425	0.351	0.117	1.587	0.584
scan-13_plant-508.tiff (blue)	508	4	0.463	0.542	0.389	0.166	1.923	0.563
scan-13_plant-508.tiff (blue)	508	5	0.445	0.620	0.380	0.185	2.053	0.552
scan-13_plant-508.tiff (blue)	508	6	0.549	0.606	0.378	0.180	2.063	0.531
scan-13_plant-508.tiff (blue)	508	7	0.530	0.689	0.417	0.225	2.313	0.529
scan-13_plant-508.tiff (blue)	508	8	0.409	0.671	0.396	0.209	2.260	0.514
scan-13_plant-508.tiff (blue)	508	9	0.434	0.624	0.391	0.192	2.207	0.495
scan-13_plant-508.tiff (blue)	508	10	0.233	0.550	0.311	0.134	1.837	0.500

scan-14_plant-529.tiff (blue)	529	1	0.184	0.234	0.227	0.042	0.930	0.606
scan-14_plant-529.tiff (blue)	529	2	0.204	0.239	0.224	0.042	0.940	0.600
scan-14_plant-529.tiff (blue)	529	3	0.366	0.382	0.331	0.099	1.450	0.593
scan-14_plant-529.tiff (blue)	529	4	0.424	0.454	0.406	0.145	1.740	0.602
scan-14_plant-529.tiff (blue)	529	5	0.482	0.605	0.407	0.193	2.083	0.559
scan-14_plant-529.tiff (blue)	529	6	0.551	0.680	0.412	0.220	2.303	0.521
scan-14_plant-529.tiff (blue)	529	7	0.620	0.752	0.436	0.257	2.440	0.543
scan-14_plant-529.tiff (blue)	529	8	0.574	0.730	0.486	0.279	2.580	0.526
scan-14_plant-529.tiff (blue)	529	9	0.522	0.775	0.436	0.265	2.520	0.525
scan-14_plant-529.tiff (blue)	529	10	0.400	0.662	0.433	0.225	2.377	0.501

scan-15_plant-542.tiff (blue)	542	1	0.168	0.189	0.170	0.025	0.730	0.594
scan-15_plant-542.tiff (blue)	542	2	0.142	0.182	0.166	0.024	0.710	0.590
scan-15_plant-542.tiff (blue)	542	3	0.214	0.264	0.245	0.051	1.047	0.584
scan-15_plant-542.tiff (blue)	542	4	0.322	0.368	0.320	0.092	1.407	0.587
scan-15_plant-542.tiff (blue)	542	5	0.377	0.400	0.329	0.103	1.467	0.604
scan-15_plant-542.tiff (blue)	542	6	0.478	0.575	0.431	0.195	2.070	0.571
scan-15_plant-542.tiff (blue)	542	7	0.578	0.660	0.410	0.213	2.197	0.554
scan-15_plant-542.tiff (blue)	542	8	0.593	0.674	0.476	0.252	2.363	0.567
scan-15_plant-542.tiff (blue)	542	9	0.422	0.740	0.409	0.238	2.370	0.532
scan-15_plant-542.tiff (blue)	542	10	0.376	0.668	0.392	0.206	2.223	0.523

scan-16_plant-553.tiff (blue)	553	1	0.245	0.309	0.240	0.058	1.250	0.469
scan-16_plant-553.tiff (blue)	553	2	0.189	0.286	0.233	0.052	1.073	0.571
scan-16_plant-553.tiff (blue)	553	3	0.357	0.579	0.376	0.171	1.973	0.551
scan-16_plant-553.tiff (blue)	553	4	0.361	0.662	0.413	0.215	2.253	0.532
scan-16_plant-553.tiff (blue)	553	5	0.502	0.908	0.366	0.261	2.803	0.417
scan-16_plant-553.tiff (blue)	553	6	0.501	0.836	0.332	0.218	2.450	0.456
scan-16_plant-553.tiff (blue)	553	7	0.530	0.876	0.308	0.212	2.490	0.430
scan-16_plant-553.tiff (blue)	553	8	0.506	0.939	0.304	0.225	2.690	0.390
scan-16_plant-553.tiff (blue)	553	9	0.403	0.795	0.303	0.189	2.317	0.442
scan-16_plant-553.tiff (blue)	553	10	0.391	0.689	0.277	0.150	2.000	0.472

scan-17_plant-574.tiff (blue)	574	1	0.260	0.306	0.269	0.065	1.167	0.597
scan-17_plant-574.tiff (blue)	574	2	0.167	0.228	0.204	0.037	0.883	0.589
scan-17_plant-574.tiff (blue)	574	3	0.403	0.418	0.355	0.117	1.593	0.577
scan-17_plant-574.tiff (blue)	574	4	0.498	0.466	0.418	0.153	1.817	0.584
scan-17_plant-574.tiff (blue)	574	5	0.566	0.608	0.426	0.203	2.157	0.550
scan-17_plant-574.tiff (blue)	574	6	0.624	0.791	0.518	0.322	2.707	0.552
scan-17_plant-574.tiff (blue)	574	7	0.761	0.810	0.545	0.347	2.827	0.546
scan-17_plant-574.tiff (blue)	574	8	0.799	0.873	0.421	0.289	2.693	0.500
scan-17_plant-574.tiff (blue)	574	9	0.657	0.875	0.493	0.338	2.937	0.493
scan-17_plant-574.tiff (blue)	574	10	0.544	0.777	0.427	0.260	2.557	0.500

scan-18_plant-581.tiff (blue)	581	1	0.215	0.277	0.223	0.048	1.037	0.567
scan-18_plant-581.tiff (blue)	581	2	0.204	0.226	0.148	0.026	0.653	0.773
scan-18_plant-581.tiff (blue)	581	3	0.397	0.510	0.369	0.148	1.813	0.566
scan-18_plant-581.tiff (blue)	581	4	0.420	0.573	0.476	0.214	2.150	0.583
scan-18_plant-581.tiff (blue)	581	5	0.476	0.805	0.448	0.283	2.567	0.540
scan-18_plant-581.tiff (blue)	581	6	0.575	0.864	0.495	0.336	2.843	0.522
scan-18_plant-581.tiff (blue)	581	7	0.562	0.969	0.366	0.278	2.853	0.430
scan-18_plant-581.tiff (blue)	581	8	0.682	0.976	0.366	0.281	2.837	0.438
scan-18_plant-581.tiff (blue)	581	9	0.493	0.898	0.349	0.246	2.643	0.442
scan-18_plant-581.tiff (blue)	581	10	0.455	0.814	0.361	0.231	2.463	0.478

scan-19_plant-613.tiff (blue)	613	1	0.190	0.270	0.205	0.044	1.003	0.544
scan-19_plant-613.tiff (blue)	613	2	0.220	0.230	0.206	0.037	0.897	0.583
scan-19_plant-613.tiff (blue)	613	3	0.391	0.472	0.397	0.147	1.783	0.581
scan-19_plant-613.tiff (blue)	613	4	0.523	0.539	0.420	0.178	1.990	0.563
scan-19_plant-613.tiff (blue)	613	5	0.505	0.828	0.404	0.263	2.693	0.455
scan-19_plant-613.tiff (blue)	613	6	0.515	0.892	0.476	0.333	2.870	0.509
scan-19_plant-613.tiff (blue)	613	7	0.649	0.982	0.360	0.278	2.840	0.433
scan-19_plant-613.tiff (blue)	613	8	0.610	0.917	0.461	0.332	2.967	0.474
scan-19_plant-613.tiff (blue)	613	9	0.585	0.938	0.457	0.337	3.013	0.466
scan-19_plant-613.tiff (blue)	613	10	0.550	0.897	0.310	0.219	2.567	0.417

scan-20_plant-625.tiff (blue)	625	1	0.099	0.113	0.076	0.007	0.314	0.860
scan-20_plant-625.tiff (blue)	625	2	0.173	0.245	0.219	0.042	0.957	0.578
scan-20_plant-625.tiff (blue)	625	3	0.406	0.521	0.413	0.169	1.943	0.562
scan-20_plant-625.tiff (blue)	625	4	0.420	0.588	0.442	0.204	2.083	0.591
scan-20_plant-625.tiff (blue)	625	5	0.534	0.752	0.507	0.300	2.597	0.559
scan-20_plant-625.tiff (blue)	625	6	0.569	0.786	0.525	0.324	2.727	0.547
scan-20_plant-625.tiff (blue)	625	7	0.494	0.843	0.431	0.285	2.673	0.502
scan-20_plant-625.tiff (blue)	625	8	0.468	0.773	0.477	0.290	2.603	0.537
scan-20_plant-625.tiff (blue)	625	9	0.340	0.669	0.413	0.217	2.283	0.523
scan-20_plant-625.tiff (blue)	625	10	0.171	0.602	0.251	0.119	1.927	0.402

scan-21_plant-639.tiff (blue)	639	1	0.200	0.230	0.209	0.038	0.890	0.599
scan-21_plant-639.tiff (blue)	639	2	0.208	0.213	0.191	0.032	0.833	0.581
scan-21_plant-639.tiff (blue)	639	3	0.467	0.515	0.459	0.186	2.057	0.552
scan-21_plant-639.tiff (blue)	639	4	0.435	0.525	0.455	0.188	2.037	0.569
scan-21_plant-639.tiff (blue)	639	5	0.738	0.897	0.569	0.401	3.060	0.538
scan-21_plant-639.tiff (blue)	639	6	0.784	0.996	0.489	0.382	3.107	0.498
scan-21_plant-639.tiff (blue)	639	7	0.770	0.973	0.571	0.437	3.267	0.514
scan-21_plant-639.tiff (blue)	639	8	0.747	0.869	0.531	0.362	2.950	0.523
scan-21_plant-639.tiff (blue)	639	9	0.531	0.914	0.506	0.363	3.000	0.507
scan-21_plant-639.tiff (blue)	639	10	0.482	0.813	0.450	0.287	2.670	0.506

scan-22_plant-655.tiff (blue)	655	1	0.247	0.269	0.248	0.052	1.067	0.578
scan-22_plant-655.tiff (blue)	655	2	0.234	0.278	0.259	0.057	1.113	0.573
scan-22_plant-655.tiff (blue)	655	3	0.408	0.566	0.440	0.196	2.053	0.584
scan-22_plant-655.tiff (blue)	655	4	0.485	0.551	0.458	0.198	2.063	0.586
scan-22_plant-655.tiff (blue)	655	5	0.682	0.862	0.548	0.371	2.900	0.554
scan-22_plant-655.tiff (blue)	655	6	0.750	0.948	0.526	0.392	3.077	0.520
scan-22_plant-655.tiff (blue)	655	7	0.768	1.005	0.571	0.451	3.387	0.494
scan-22_plant-655.tiff (blue)	655	8	0.698	1.267	0.440	0.438	5.073	0.214
scan-22_plant-655.tiff (blue)	655	9	0.761	0.949	0.503	0.375	3.147	0.476
scan-22_plant-655.tiff (blue)	655	10	0.533	0.917	0.486	0.350	3.023	0.481

scan-23_plant-668.tiff (blue)	668	1	0.187	0.200	0.186	0.029	0.773	0.614
scan-23_plant-668.tiff (blue)	668	2	0.201	0.245	0.208	0.040	0.947	0.560
scan-23_plant-668.tiff (blue)	668	3	0.412	0.585	0.410	0.188	2.090	0.542
scan-23_plant-668.tiff (blue)	668	4	0.411	0.656	0.393	0.202	2.190	0.530
scan-23_plant-668.tiff (blue)	668	5	0.541	0.852	0.473	0.317	2.860	0.487
scan-23_plant-668.tiff (blue)	668	6	0.529	0.919	0.401	0.290	2.833	0.453
scan-23_plant-668.tiff (blue)	668	7	0.593	0.972	0.394	0.301	2.920	0.444
scan-23_plant-668.tiff (blue)	668	8	0.559	0.946	0.463	0.344	3.017	0.475
scan-23_plant-668.tiff (blue)	668	9	0.467	0.874	0.389	0.267	2.670	0.471
scan-23_plant-668.tiff (blue)	668	10	0.346	0.805	0.312	0.198	2.320	0.461

scan-24_plant-683.tiff (blue)	683	1	0.305	0.293	0.243	0.056	1.110	0.571
scan-24_plant-683.tiff (blue)	683	2	0.239	0.262	0.232	0.048	1.020	0.577
scan-24_plant-683.tiff (blue)	683	3	0.458	0.509	0.428	0.171	1.890	0.602
scan-24_plant-683.tiff (blue)	683	4	0.424	0.572	0.459	0.206	2.157	0.558
scan-24_plant-683.tiff (blue)	683	5	0.582	0.807	0.439	0.278	2.597	0.518
scan-24_plant-683.tiff (blue)	683	6	0.692	0.913	0.385	0.276	2.707	0.474
scan-24_plant-683.tiff (blue)	683	7	0.637	0.883	0.357	0.247	2.633	0.448
scan-24_plant-683.tiff (blue)	683	8	0.543	0.910	0.362	0.259	2.667	0.458
scan-24_plant-683.tiff (blue)	683	9	0.492	0.727	0.353	0.202	2.270	0.492
scan-24_plant-683.tiff (blue)	683	10	0.396	0.646	0.367	0.186	2.193	0.487
