file	transplantNum	leaf	petioleLength	bladeLength	bladeWidth	bladeArea	bladePerimeter	bladeCircularity
scan-01_plant-512.tiff (blue)	512	1	0.175	0.215	0.174	0.029	0.807	0.567
scan-01_plant-512.tiff (blue)	512	2	0.156	0.192	0.167	0.025	0.740	0.578
scan-01_plant-512.tiff (blue)	512	3	0.311	0.386	0.305	0.092	1.470	0.537
scan-01_plant-512.tiff (blue)	512	4	0.332	0.432	0.347	0.118	1.580	0.592
scan-01_plant-512.tiff (blue)	512	5	0.351	0.484	0.335	0.128	1.717	0.544
scan-01_plant-512.tiff (blue)	512	6	0.466	0.552	0.331	0.144	1.823	0.543
scan-01_plant-512.tiff (blue)	512	7	0.391	0.572	0.316	0.142	1.927	0.481
scan-01_plant-512.tiff (blue)	512	8	0.357	0.547	0.284	0.122	1.700	0.531
scan-01_plant-512.tiff (blue)	512	9	0.505	0.532	0.320	0.134	1.807	0.516
scan-01_plant-512.tiff (blue)	512	10	0.347	0.459	0.313	0.113	1.667	0.511

scan-02_plant-518.tiff (blue)	518	1	0.279	0.260	0.251	0.051	1.020	0.618
scan-02_plant-518.tiff (blue)	518	2	0.284	0.268	0.249	0.052	1.057	0.590
scan-02_plant-518.tiff (blue)	518	3	0.438	0.486	0.376	0.143	1.763	0.579
scan-02_plant-518.tiff (blue)	518	4	0.399	0.460	0.388	0.140	1.723	0.594
scan-02_plant-518.tiff (blue)	518	5	0.675	0.713	0.407	0.228	2.343	0.522
scan-02_plant-518.tiff (blue)	518	6	0.576	0.694	0.440	0.239	2.443	0.504
scan-02_plant-518.tiff (blue)	518	7	0.655	0.714	0.410	0.230	2.383	0.508
scan-02_plant-518.tiff (blue)	518	8	0.587	0.774	0.413	0.251	2.543	0.488
scan-02_plant-518.tiff (blue)	518	9	0.495	0.676	0.372	0.198	2.197	0.515
scan-02_plant-518.tiff (blue)	518	10	0.353	0.594	0.352	0.164	2.000	0.516

scan-03_plant-537.tiff (blue)	537	1	0.224	0.330	0.242	0.063	1.170	0.575
scan-03_plant-537.tiff (blue)	537	2	0.250	0.319	0.250	0.063	1.157	0.588
scan-03_plant-537.tiff (blue)	537	3	0.492	0.548	0.389	0.167	1.940	0.559
scan-03_plant-537.tiff (blue)	537	4	0.450	0.629	0.411	0.203	2.147	0.554
scan-03_plant-537.tiff (blue)	537	5	0.559	0.802	0.336	0.212	2.347	0.483
scan-03_plant-537.tiff (blue)	537	6	0.679	0.912	0.305	0.219	2.210	0.562
scan-03_plant-537.tiff (blue)	537	7	0.730	0.788	0.278	0.172	2.240	0.431
scan-03_plant-537.tiff (blue)	537	8	0.630	0.939	0.294	0.217	2.583	0.408
scan-03_plant-537.tiff (blue)	537	9	0.565	0.832	0.269	0.176	2.320	0.410
scan-03_plant-537.tiff (blue)	537	10	0.461	0.779	0.274	0.167	2.223	0.426

scan-04_plant-560.tiff (blue)	560	1	0.292	0.306	0.285	0.069	1.290	0.517
scan-04_plant-560.tiff (blue)	560	2	0.283	0.295	0.289	0.067	1.173	0.610
scan-04_plant-560.tiff (blue)	560	3	0.405	0.455	0.365	0.130	1.667	0.590
scan-04_plant-560.tiff (blue)	560	4	0.487	0.507	0.442	0.176	1.920	0.600
scan-04_plant-560.tiff (blue)	560	5	0.511	0.496	0.444	0.173	1.983	0.553
scan-04_plant-560.tiff (blue)	560	6	0.695	0.737	0.536	0.310	2.600	0.577
scan-04_plant-560.tiff (blue)	560	7	0.697	0.847	0.512	0.340	2.770	0.558
scan-04_plant-560.tiff (blue)	560	8	0.747	0.842	0.519	0.343	2.833	0.537
scan-04_plant-560.tiff (blue)	560	9	0.748	0.946	0.505	0.376	3.007	0.522
scan-04_plant-560.tiff (blue)	560	10	0.747	0.853	0.408	0.273	2.633	0.495

scan-05_plant-572.tiff (blue)	572	1	0.222	0.223	0.210	0.037	0.873	0.604
scan-05_plant-572.tiff (blue)	572	2	0.172	0.198	0.175	0.027	0.793	0.545
scan-05_plant-572.tiff (blue)	572	3	0.422	0.509	0.396	0.158	1.853	0.578
scan-05_plant-572.tiff (blue)	572	4	0.371	0.541	0.435	0.185	2.027	0.566
scan-05_plant-572.tiff (blue)	572	5	0.513	0.666	0.461	0.241	2.320	0.562
scan-05_plant-572.tiff (blue)	572	6	0.613	0.753	0.509	0.301	2.590	0.564
scan-05_plant-572.tiff (blue)	572	7	0.631	0.762	0.483	0.289	2.587	0.543
scan-05_plant-572.tiff (blue)	572	8	0.583	0.826	0.465	0.301	2.723	0.511
scan-05_plant-572.tiff (blue)	572	9	0.399	0.708	0.398	0.221	2.347	0.505
scan-05_plant-572.tiff (blue)	572	10	0.321	0.592	0.349	0.162	2.027	0.497

scan-06_plant-588.tiff (blue)	588	1	0.276	0.271	0.261	0.056	1.103	0.576
scan-06_plant-588.tiff (blue)	588	2	0.234	0.252	0.216	0.043	0.963	0.579
scan-06_plant-588.tiff (blue)	588	3	0.514	0.534	0.407	0.171	1.967	0.555
scan-06_plant-588.tiff (blue)	588	4	0.514	0.583	0.425	0.194	2.113	0.547
scan-06_plant-588.tiff (blue)	588	5	0.647	0.770	0.292	0.177	2.243	0.442
scan-06_plant-588.tiff (blue)	588	6	0.654	0.741	0.259	0.150	2.103	0.427
scan-06_plant-588.tiff (blue)	588	7	0.588	0.717	0.264	0.148	2.137	0.409
scan-06_plant-588.tiff (blue)	588	8	0.529	0.716	0.278	0.156	2.107	0.442
scan-06_plant-588.tiff (blue)	588	9	0.446	0.638	0.291	0.146	1.977	0.470
scan-06_plant-588.tiff (blue)	588	10	0.107	0.386	0.218	0.066	1.357	0.452

scan-07_plant-601.tiff (blue)	601	1	0.229	0.254	0.224	0.045	0.967	0.601
scan-07_plant-601.tiff (blue)	601	2	0.212	0.239	0.229	0.043	0.950	0.598
scan-07_plant-601.tiff (blue)	601	3	0.453	0.510	0.393	0.157	1.853	0.576
scan-07_plant-601.tiff (blue)	601	4	0.456	0.527	0.461	0.191	2.027	0.584
scan-07_plant-601.tiff (blue)	601	5	0.657	0.820	0.461	0.297	2.683	0.519
scan-07_plant-601.tiff (blue)	601	6	0.645	0.755	0.470	0.278	2.530	0.547
scan-07_plant-601.tiff (blue)	601	7	0.721	0.821	0.496	0.320	2.740	0.535
scan-07_plant-601.tiff (blue)	601	8	0.580	0.809	0.430	0.273	2.577	0.517
scan-07_plant-601.tiff (blue)	601	9	0.531	0.834	0.426	0.279	2.650	0.500
scan-07_plant-601.tiff (blue)	601	10	0.285	0.655	0.392	0.202	2.203	0.523

