file	transplantNum	leaf	petioleLength	bladeLength	bladeWidth	bladeArea	bladePerimeter	bladeCircularity
scan-31_plant-606.tiff (blue)	606	9	0.698	1.094	0.390	0.335	3.073	0.446
scan-31_plant-606.tiff (blue)	606	10	0.602	1.001	0.349	0.274	2.900	0.410

scan-32_plant-626.tiff (blue)	626	1	0.176	0.254	0.221	0.044	0.980	0.577
scan-32_plant-626.tiff (blue)	626	2	0.236	0.269	0.213	0.045	0.980	0.589
scan-32_plant-626.tiff (blue)	626	3	0.413	0.494	0.420	0.163	1.883	0.578
scan-32_plant-626.tiff (blue)	626	4	0.387	0.376	0.227	0.067	2.440	0.142
scan-32_plant-626.tiff (blue)	626	5	0.496	0.838	0.534	0.352	2.897	0.527
scan-32_plant-626.tiff (blue)	626	6	0.553	0.947	0.578	0.430	3.163	0.540
scan-32_plant-626.tiff (blue)	626	7	0.659	1.177	0.530	0.490	3.583	0.479
scan-32_plant-626.tiff (blue)	626	8	0.540	1.194	0.547	0.513	3.650	0.484
scan-32_plant-626.tiff (blue)	626	9	0.615	1.218	0.516	0.494	3.717	0.449
scan-32_plant-626.tiff (blue)	626	10	0.710	1.211	0.560	0.533	3.683	0.493

scan-33_plant-636.tiff (blue)	636	1	0.336	0.323	0.239	0.061	1.153	0.573
scan-33_plant-636.tiff (blue)	636	2	0.280	0.313	0.228	0.056	1.237	0.460
scan-33_plant-636.tiff (blue)	636	3	0.489	0.576	0.464	0.210	2.120	0.586
scan-33_plant-636.tiff (blue)	636	4	0.492	0.633	0.477	0.237	2.343	0.543
scan-33_plant-636.tiff (blue)	636	5	0.616	0.949	0.477	0.355	2.947	0.514
scan-33_plant-636.tiff (blue)	636	6	0.752	1.073	0.558	0.470	3.380	0.517
scan-33_plant-636.tiff (blue)	636	7	0.700	1.185	0.413	0.385	3.420	0.413
scan-33_plant-636.tiff (blue)	636	8	0.590	1.368	0.499	0.536	4.013	0.418
scan-33_plant-636.tiff (blue)	636	9	0.810	1.269	0.483	0.482	3.790	0.421
scan-33_plant-636.tiff (blue)	636	10	0.593	1.246	0.544	0.533	3.753	0.475

scan-34_plant-649.tiff (blue)	649	1	0.216	0.232	0.201	0.037	0.963	0.496
scan-34_plant-649.tiff (blue)	649	2	0.229	0.242	0.212	0.040	1.127	0.399
scan-34_plant-649.tiff (blue)	649	3	0.355	0.492	0.394	0.152	1.813	0.581
scan-34_plant-649.tiff (blue)	649	4	0.379	0.547	0.416	0.179	2.000	0.562
scan-34_plant-649.tiff (blue)	649	5	0.670	0.773	0.510	0.309	2.643	0.556
scan-34_plant-649.tiff (blue)	649	6	0.743	0.949	0.445	0.332	2.940	0.482
scan-34_plant-649.tiff (blue)	649	7	0.783	0.932	0.460	0.337	2.937	0.491
scan-34_plant-649.tiff (blue)	649	8	0.770	1.033	0.524	0.425	3.233	0.510
scan-34_plant-649.tiff (blue)	649	9	0.672	1.041	0.513	0.419	3.233	0.504
scan-34_plant-649.tiff (blue)	649	10	0.555	1.034	0.495	0.402	3.267	0.474

scan-35_plant-662.tiff (blue)	662	1	0.205	0.261	0.224	0.046	0.990	0.588
scan-35_plant-662.tiff (blue)	662	2	0.179	0.279	0.245	0.054	1.060	0.602
scan-35_plant-662.tiff (blue)	662	3	0.451	0.561	0.498	0.220	2.237	0.551
scan-35_plant-662.tiff (blue)	662	4	0.544	0.738	0.553	0.321	2.670	0.565
scan-35_plant-662.tiff (blue)	662	5	0.538	0.866	0.570	0.388	2.967	0.554
scan-35_plant-662.tiff (blue)	662	6	0.819	1.122	0.524	0.462	3.413	0.498
scan-35_plant-662.tiff (blue)	662	7	0.974	1.095	0.678	0.583	3.647	0.551
scan-35_plant-662.tiff (blue)	662	8	0.945	1.127	0.617	0.546	3.687	0.505
scan-35_plant-662.tiff (blue)	662	9	0.619	1.182	0.597	0.554	3.933	0.450
scan-35_plant-662.tiff (blue)	662	10	0.882	1.118	0.606	0.532	3.647	0.503

scan-36_plant-685.tiff (blue)	685	1	0.186	0.240	0.200	0.038	0.897	0.589
scan-36_plant-685.tiff (blue)	685	2	0.192	0.209	0.172	0.028	0.863	0.477
scan-36_plant-685.tiff (blue)	685	3	0.305	0.424	0.383	0.127	1.650	0.588
scan-36_plant-685.tiff (blue)	685	4	0.416	0.453	0.412	0.147	1.757	0.598
scan-36_plant-685.tiff (blue)	685	5	0.597	0.769	0.500	0.302	2.613	0.556
scan-36_plant-685.tiff (blue)	685	6	0.703	0.789	0.527	0.326	2.793	0.526
scan-36_plant-685.tiff (blue)	685	7	0.668	0.895	0.514	0.361	2.960	0.518
